,Unnamed: 0,序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标,score
0,0,120,四川攀枝花龙洞,干流,0.022741678776751914,0.07217720151269585,0.07040913415794481,0.0633093525179856,Ⅱ ,Ⅱ ,,0.05759895496210392
1,1,121,重庆朱沱 ,干流（川-渝省界） ,0.033760842720126576,0.08006482982171798,0.07802093244529021,0.06299460431654676,Ⅱ ,Ⅱ ,  ,0.06407766830158801
2,2,122,湖北宜昌南津关 ,干流（三峡水库出口） ,0.02872633108642349,0.05813074014046461,0.07136060894386298,0.0637140287769784,Ⅱ ,Ⅱ ,  ,0.05583288242666923
3,3,123,湖南岳阳城陵矶 ,干流 ,0.035986832350025054,0.05888708806050783,0.049476688867745,0.06357913669064749,Ⅲ ,Ⅲ ,  ,0.05220888498085917
4,4,124,江西九江河西水厂 ,干流（鄂-赣省界） ,0.037641399354623906,0.06039978390059428,0.06850618458610847,0.06411870503597122,Ⅱ ,Ⅱ ,  ,0.05792921608105754
5,5,125,安徽安庆皖河口 ,干流 ,0.033760842720126576,0.06299297676931388,0.06089438629876308,0.0637589928057554,Ⅱ ,Ⅱ ,  ,0.05563899830840529
6,6,126,江苏南京林山 ,干流（皖-苏省界） ,0.030605623774320367,0.06493787142085361,0.07802093244529021,0.06398381294964028,Ⅱ ,Ⅱ ,  ,0.059752874545902765
7,7,127,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,0.034838316423960396,0.04127498649378714,0.0,0.0568794964028777,Ⅴ ,Ⅳ ,氨氮 ,0.03328901747767688
8,8,128,四川宜宾凉姜沟 ,岷江（入长江前） ,0.09951477949995223,0.05683414370610482,0.05613701236917222,0.05800359712230216,Ⅴ ,Ⅴ ,氨氮 ,0.06720528108278653
9,9,129,四川泸州沱江二桥 ,沱江（入长江前） ,0.11074208795635718,0.0,0.030447193149381536,0.060836330935251794,Ⅴ ,Ⅳ ,溶解氧 ,0.04978900249058626
10,10,130,湖北丹江口胡家岭 ,丹江口水库（库体） ,0.09750118613548836,0.06612641815235008,0.06945765937202665,0.0647931654676259,Ⅱ ,Ⅱ ,  ,0.07416143935181396
11,11,131,湖南长沙新港 ,湘江（洞庭湖入口） ,0.14238268451531627,0.04257158292814695,0.07040913415794481,0.05962230215827337,Ⅳ ,Ⅳ ,氨氮 ,0.07791345196488848
12,12,132,湖南岳阳岳阳楼 ,洞庭湖出口 ,0.11964100573856436,0.046893571042679626,0.06374881065651761,0.06366906474820144,Ⅱ ,Ⅲ ,  ,0.07289423271452468
13,13,133,湖北武汉宗关 ,汉江（入长江前） ,0.027519342385313266,0.07682333873581848,0.05518553758325404,0.06389388489208632,Ⅱ ,Ⅱ ,  ,0.05622552016029917
14,14,134,江西南昌滁槎 ,赣江（鄱阳湖入口） ,0.0867388767736985,0.04732576985413291,0.059942911512844914,0.0,劣Ⅴ ,劣Ⅴ ,氨氮 ,0.04790884283899604
15,15,135,江西九江蛤蟆石 ,鄱阳湖出口 ,0.026409691482679666,0.07152890329551594,0.03996194100856327,0.06294964028776978,Ⅲ ,Ⅲ ,,0.05053873425659815
16,16,136,江苏扬州三江营 ,夹江（南水北调取水口） ,0.03148847830627193,0.09303079416531604,0.07802093244529021,0.06389388489208632,Ⅱ ,Ⅱ ,  ,0.06703499805524393
