序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标
69,四川攀枝花龙洞,干流,8.37,8.6,3.1,0.17,Ⅱ,I,
70,重庆朱沱,干流（川-渝省界）,7.72,9.02,2.1,0.28,Ⅱ,II,
71,湖北宜昌南津关,干流（三峡水库出口）,7.22,11.9,2.4,0.26,Ⅱ,II,
72,湖南岳阳城陵矶,干流,7.91,8.01,6,0.27,Ⅲ,II,
73,江西九江河西水厂,干流（鄂-赣省界）,7.41,7.66,3.3,0.13,Ⅱ,II,
74,安徽安庆皖河口,干流,7.75,7.65,2.9,0.28,Ⅱ,III,
75,江苏南京林山,干流（皖-苏省界）,7.73,6.89,1.9,0.16,Ⅱ,II,
76,四川乐山岷江大桥,岷江（与大渡河汇合前）,7.97,5.82,5.7,0.76,Ⅲ,IV,
77,四川宜宾凉姜沟,岷江（入长江前）,7.99,10.1,2.6,0.32,Ⅱ,II,
78,四川泸州沱江二桥,沱江（入长江前）,7.53,7.07,6,0.46,Ⅲ,III,
79,湖北丹江口胡家岭,丹江口水库（库体）,7.54,8.42,2.1,0.12,Ⅱ,II,
80,湖南长沙新港,湘江（洞庭湖入口）,7.62,5.44,2.2,1.12,Ⅳ,III,氨氮
81,湖南岳阳岳阳楼,洞庭湖出口,7.54,9.97,2.8,0.24,Ⅱ,II,
82,湖北武汉宗关,汉江（入长江前）,7.94,7.42,2.6,0.44,Ⅱ,II,
83,江西南昌滁槎,赣江（鄱阳湖入口）,7.03,6.2,1.8,6.5,劣Ⅴ,劣V,氨氮
84,江西九江蛤蟆石,鄱阳湖出口,7,8.76,3.4,0.26,Ⅱ,II,
85,江苏扬州三江营,夹江（南水北调取水口）,7.83,8,2.9,0.41,Ⅱ,III,
