序号,点位名称,断面情况,pH*,DO,CODMn,NH3-N,本月,上月,主要污染指标,水流量,水流速
222,四川攀枝花龙洞,干流,8.01,8.46,2.4,0.04,Ⅱ,Ⅱ,,4660,4.1
223,重庆朱沱,干流（川-渝省界）,7.66,7.72,3.3,0.18,Ⅱ,Ⅱ,,16400,2.3
224,湖北宜昌南津关,干流（三峡水库出口）,7.94,7.82,3.2,0.16,Ⅱ,Ⅱ,,22700,1.4
225,湖南岳阳城陵矶,干流,7.66,8.46,4.2,0.36,Ⅲ,Ⅱ,,24100,1.5
226,江西九江河西水厂,干流（鄂-赣省界）,7.31,6.88,2.6,0.16,Ⅱ,Ⅱ,,27000,1.5
227,安徽安庆皖河口,干流,7.19,6.04,1.7,0.22,Ⅱ,Ⅱ,,31900,1.6
228,江苏南京林山,干流（皖-苏省界）,7.45,5.88,1.8,0.05,Ⅲ,Ⅱ,,32100,1.7
229,四川乐山岷江大桥,岷江（与大渡河汇合前）,7.6,5.33,4.6,1.03,Ⅳ,Ⅲ,,,
230,四川宜宾凉姜沟,岷江（入长江前）,7.78,7.96,4.6,0.15,Ⅲ,Ⅱ,氨氮,,
231,四川泸州沱江二桥,沱江（入长江前）,7.45,7.47,5.2,0.14,Ⅲ,Ⅱ,,,
232,湖北丹江口胡家岭,丹江口水库（库体）,7.95,9.31,1.7,0.09,Ⅰ,Ⅰ,,,
233,湖南长沙新港,湘江（洞庭湖入口）,7.24,7.62,4,0.96,Ⅲ,Ⅲ,,,
234,湖南岳阳岳阳楼,洞庭湖出口,7.93,7.86,6.5,0.34,Ⅳ,Ⅳ,,,
235,湖北武汉宗关,汉江（入长江前）,7.9,5.86,2.7,0.19,Ⅲ,Ⅲ,高锰酸盐指数,,
236,江西南昌滁槎,赣江（鄱阳湖入口）,6.68,5.54,0.4,1.19,Ⅳ,劣Ⅴ,,,
237,江西九江蛤蟆石,鄱阳湖出口,7.38,6.85,2.1,0.22,Ⅱ,Ⅱ,氨氮,,
238,江苏扬州三江营,夹江（南水北调取水口）,7.1,7.46,3.9,0.28,Ⅱ,Ⅱ,,,
