,观测时间,四川攀枝花,重庆朱沱,湖北宜昌,湖南岳阳,江西九江,安徽安庆,江苏南京
0,2004-04,2.3,3.5,2.2,3.3,2.9,2.8000000000000784,1.5
1,2004-05,4.3,2.2,3.0,3.6,3.1,3.200000000000348,1.8
2,2004-06,2.5,3.0,3.8,3.5,2.6,1.6000000008287065,2.0
3,2004-07,2.4,3.3,3.2,4.2,2.6,1.7000000016778058,1.8
4,2004-08,5.8,2.0,3.1,4.0,2.3,1.9000000028753514,1.7
5,2004-09,6.1,4.4,3.4,3.9,1.9,1.6000125546575579,2.3000000000022407
6,2004-10,0.8,1.6,3.7,3.5,1.9,2.1000000044208496,1.9
7,2004-11,2.8,2.0,1.9,2.6,2.2,2.2000000000000006,1.8
8,2004-12,1.6,1.3,2.4,3.5,2.3,1.7,2.0
9,2005-01,1.2,1.3,1.9,5.1,2.4,2.6,2.5
10,2005-02,0.9,1.8,2.0,3.2,3.1,2.7,2.3
11,2005-03,1.1,1.9,2.1,4.1,1.8,2.7,1.8
12,2005-04,1.1,2.0,2.4,2.9,2.0,2.3,1.5
