观测时间,四川攀枝花,重庆朱沱,湖北宜昌,湖南岳阳,江西九江,安徽安庆,江苏南京
2004-04,0.5535,2.898,5.67,6.656,7.587000000000001,6.49,0.596
2004-05,0.2604,3.5370000000000004,5.94,6.56,6.556,8.5,3.105
2004-06,0.16040000000000001,2.556,6.902000000000001,7.909999999999999,4.425,5.457,1.986
2004-07,0.1864,2.952,3.632,8.676,4.32,7.018,1.605
2004-08,3.74,1.8020000000000003,4.56,8.547,7.704,5.344,1.755
2004-09,0.5651999999999999,7.616,15.514999999999999,16.14,18.2,10.388000000000002,6.48
2004-10,0.26080000000000003,3.726,4.393,8.028,4.712,5.27,1.536
2004-11,0.09,2.2059,2.544,4.32,3.212,2.04,0.98
2004-12,0.07608,3.3405,1.184,3.317,1.584,1.9740000000000002,1.49
2005-01,0.04984,2.1708000000000003,1.0054,3.4397999999999995,2.289,2.46,3.168
2005-02,0.09179999999999999,1.9816500000000001,0.8118,3.4314,1.339,2.466,4.681
2005-03,0.16198,2.5596000000000005,0.9842000000000001,2.9568,1.573,4.922,0.43
2005-04,0.06420000000000001,2.2995,0.702,3.0408,2.114,3.03,4.42
